ID,Area,Winning Point,Victory Times,Victory,Defeat Times,Defeat,Win Rate,Performance,Prefer Location,Prefer Hero 1,Prefer Hero 2,Prefer Hero 3
Eric1,America,474,344,victory,307,defeat,52.80%,B+,Top,Jax,Fiora,Annie
Metaphor,America,473,100,victory,73,defeat,58.00%,A+,Jungle,Rakan,Alistar,Xayah
Doubtfull,America,472,310,victory,271,defeat,53.40%,A+,Sup,Janna,Xayah,Rakan
mulgokizary,America,472,249,victory,203,defeat,55.10%,A-,ADC,Varus,Xayah,Kog'Maw
Arceesenpai,America,471,0,victory,0,defeat,100.00%,S,ADC,Sejuani,Varus,Caitlyn
Osama,America,470,0,victory,0,defeat,100.00%,S-,Sup,Leona,Lulu,Fiora
Bao Bao,America,470,433,victory,392,defeat,52.50%,B+,Jungle,MasterYi,Aatrox,Jarvan IV
dog2,America,469,0,victory,0,defeat,100.00%,S,Jungle,Lee Sin,Jarvan IV,Maokai
INTelligent feed,America,469,237,victory,219,defeat,52.00%,A+,Jungle,TwistedFate,XinZhao,Jhin
GL IM ZWAG,America,468,688,victory,657,defeat,51.20%,A-,Sup,Kassdin,Thresh,Alistar
fwii,America,467,803,victory,784,defeat,50.60%,A-,Top,Sion,Taric,Nautilus
Based Stevens,America,467,0,victory,0,defeat,100.00%,S,Mid,Jhin,Varus,Lee Sin
xFSN Saber,America,454,263,victory,231,defeat,53.20%,B+,Jungle,Katarina,Rek'Sai,XinZhao
Whatcha Say,America,426,239,victory,195,defeat,55.10%,A+,Jungle,Kayn,Tristana,Kha'Zix
